"drug_name"	"original_smiles"
"DEXAMETHASONE"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"
"HALOPERIDOL"	"OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3"
"DINACICLIB"	"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO"
"XANOMELINE"	"CCCCCCOc1nsnc1C2=CCCN(C)C2"
"BUPARLISIB"	"Nc1cc(c(cn1)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F"
"BINIMETINIB"	"Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(cc12)C(=O)NOCCO"
"ISOGRANULATIMIDE"	"O=C1NC(=O)c2c1c3c4ccccc4[nH]c3n5cncc25"
"DALTROBAN"	"OC(=O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1"
"SUMANIROLE"	"CN[C@H]1CN2C(=O)Nc3cccc(C1)c23"
"SONEDENOSON"	"Nc1nc(OCCc2ccc(Cl)cc2)nc3c1ncn3[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O"
"PROTRIPTYLINE"	"CNCCCC1c2ccccc2C=Cc3ccccc13"
"BRIVANIB"	"C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C"
"PROPOFOL"	"CC(C)c1cccc(C(C)C)c1O"
"CHEMBL343357"	"COc1cc2N3[C@H]4[C@@H]5[C@H](CC3=O)OCC=C6C[N+]7([O-])CC[C@]4([C@@H]7C[C@H]56)c2cc1OC"
"ALENDRONIC ACID"	"NCCCC(O)(P(=O)(O)O)P(=O)(O)O"
"DACTOLISIB"	"CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5"
"DINOPROST"	"CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)O"
"HEXOCYCLIUM"	"C[N+]1(C)CCN(CC(O)(C2CCCCC2)c3ccccc3)CC1"
"MUSCIMOL"	"NCc1onc(O)c1"
"CHEMBL1628262"	"CCCC1(CCC1)[C@@H](O)C\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)O"
"CHEMBL1234797"	"NCCCNc1ccccc1[N+](=O)[O-]"
"CLOPROSTENOL (CHEMBL2220404)"	"OC(COc1cccc(Cl)c1)\C=C\C2C(O)CC(O)C2C\C=C/CCCC(=O)O"
"IRALUKAST"	"CCCc1c(O)c(ccc1OCCCC\C=C/C=C/[C@H](Sc2ccc3C(=O)C=C(Oc3c2)C(=O)O)[C@H](O)c4cccc(c4)C(F)(F)F)C(=O)C"
"GABAZINE BROMIDE"	"[Br-].COc1ccc(cc1)C2=NN(CCCC(=O)O)C(=[NH2+])C=C2"
"RACEPHEDRINE HYDROCHLORIDE"	"Cl.CN[C@H](C)[C@@H](O)c1ccccc1"
"BATIMASTAT"	"CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2cccs2)C(=O)NO"
"ROCILETINIB"	"COc1cc(ccc1Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)N4CCN(CC4)C(=O)C"
"TAMOXIFEN"	"CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3"
"TRIPARANOL"	"CCN(CC)CCOc1ccc(cc1)C(O)(Cc2ccc(Cl)cc2)c3ccc(C)cc3"
"CHEMBL225155"	"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O"
"CHEMBL460491"	"CC1(C)CN2C(=CSC2=N1)CS\C(=N/C3CCCCC3)\NC4CCCCC4"
"SAREDUTANT"	"CN(C[C@@H](CCN1CCC(CC1)(NC(=O)C)c2ccccc2)c3ccc(Cl)c(Cl)c3)C(=O)c4ccccc4"
"CHEMBL1551597"	"CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C5CC5"
"PICROTOXIN"	"CC(=C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]3(O)C[C@H]4OC45C(=O)O[C@H]2[C@]35C.CC(C)(O)[C@@H]6[C@H]7OC(=O)[C@@H]6[C@]8(O)C[C@H]9OC9%10C(=O)O[C@H]7[C@]8%10C"
"DANUSERTIB"	"CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5"
"PARAMETHADIONE"	"CCC1(C)OC(=O)N(C)C1=O"
"BUNOLOL (CHEMBL293030)"	"CC(C)(C)NCC(O)COc1cccc2C(=O)CCCc12"
"NILOTINIB"	"Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F"
"ROFECOXIB"	"CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3"
"MOTESANIB"	"CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12"
"MEQUITAZINE"	"C(N1c2ccccc2Sc3ccccc13)C45CCN(CC4)CC5"
"DESLORELIN"	"CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](CO)NC(=O)[C@H](Cc5c[nH]c6ccccc56)NC(=O)[C@H](Cc7c[nH]cn7)NC(=O)[C@@H]8CCC(=O)N8"
"NEMONAPRIDE"	"CNc1cc(OC)c(cc1Cl)C(=O)NC2CCN(Cc3ccccc3)C2C"
"OMIPALISIB"	"COc1ncc(cc1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nccc(c5ccnnc5)c4c3"
"DROSPIRENONE"	"C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7"
"CABERGOLINE"	"CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1"
"FENOFIBRIC ACID"	"CC(C)(Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2)C(=O)O"
"CHEMBL1094763"	"CC(C)(C)c1ccc(OC[C@@H]2CN(C(=O)O2)c3cccc(c3)C#N)cc1"
"SORAFENIB"	"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1"
"CHEMBL466253"	"COc1ccc(CN2C(=O)C(=O)c3cc(OC(F)(F)F)ccc23)cc1"
"ASPIRIN"	"CC(=O)Oc1ccccc1C(=O)O"
"DOTHIEPIN (CHEMBL1492500)"	"CN(C)CC\C=C\1/c2ccccc2CSc3ccccc13"
"BUPROPION"	"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1"
"RICOLINOSTAT"	"ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c2ccccc2)c3ccccc3"
"CHEMBL320642"	"O=S1(=O)N[C@H]2CCCN2c3ccccc13"
"PROPAFENONE"	"CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2"
"CHEMBL273807"	"CCCN1C(=O)N(CCC)c2nc([nH]c2C1=O)c3ccc(OCC(=O)Nc4ccc(cc4)C#N)cc3"
"AT-7519"	"Clc1cccc(Cl)c1C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3"
"CHEMBL50267"	"OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1"
"GSK-1070916"	"CCn1cc(c2ccnc3[nH]c(cc23)c4cccc(CN(C)C)c4)c(n1)c5ccc(NC(=O)N(C)C)cc5"
"AMUVATINIB"	"S=C(NCc1ccc2OCOc2c1)N3CCN(CC3)c4ncnc5c4oc6ccccc56"
"BMS-387032"	"CC(C)(C)c1oc(CSc2cnc(NC(=O)C3CCNCC3)s2)nc1"
"BMS-911543"	"CCn1c(cc2c1nc(Nc3cc(C)n(C)n3)c4ncn(C)c24)C(=O)N(C5CC5)C6CC6"
"CHEMBL2007421"	"CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)n[nH]1"
"CHEMBL284861"	"CN1SC(=O)N(Cc2ccccc2)C1=O"
"ICLAPRIM"	"COc1cc(Cc2cnc(N)nc2N)c3C=CC(Oc3c1OC)C4CC4"
"ISONIPECOTIC ACID"	"OC(=O)C1CCNCC1"
"MUSCIMOL"	"NCc1onc(O)c1"
"GALANIN"	"CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc6c[nH]cn6)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc7ccccc7)C(=O)N[C@@H](Cc8c[nH]cn8)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N"
"METHYLERGONOVINE"	"CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34"
"SERINE"	"N[C@@H](CO)C(=O)O"
"SELEGILINE"	"C[C@H](Cc1ccccc1)N(C)CC#C"
"PSEUDOEPHEDRINE HYDROCHLORIDE"	"Cl.CN[C@@H](C)[C@@H](O)c1ccccc1"
"CHEMBL222002"	"CCOCCC1(Oc2ccc(Oc3ccc(F)cc3)cc2)C(=O)NC(=O)NC1=O"
"ENMD-2076"	"CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2"
"NAPROXEN"	"COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O"
"CABOZANTINIB"	"COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC"
"ALVESPIMYCIN HYDROCHLORIDE"	"Cl.CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O"
"SPARSENTAN"	"CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(c(COCC)c3)c4ccccc4S(=O)(=O)Nc5noc(C)c5C"
"TREPROSTINIL"	"CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(=O)O"
"CARTEOLOL"	"CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12"
"AMUVATINIB"	"S=C(NCc1ccc2OCOc2c1)N3CCN(CC3)c4ncnc5c4oc6ccccc56"
"EDROPHONIUM"	"CC[N+](C)(C)c1cccc(O)c1"
"OXYBUTYNIN"	"CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2"
"CHEMBL279453"	"CCCN(CCC)CC1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4cccnc24"
"RALOXIFENE"	"Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4"
"SPIRAPRIL"	"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3"
"LATANOPROSTENE BUNOD"	"O[C@H](CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OCCCCO[N+](=O)[O-])CCc2ccccc2"
"NALUZOTAN"	"CC(=O)Nc1cccc(c1)N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2"
"YOHIMBINE"	"COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12"
"VOSAROXIN"	"CN[C@H]1CN(C[C@@H]1OC)c2ccc3C(=O)C(=CN(c4nccs4)c3n2)C(=O)O"
"CHEMBL429392"	"CC(=O)NCCc1cccc2ccc(OCCCOc3ccc4cccc(CCNC(=O)C)c4c3)cc12"
"BREXPIPRAZOLE"	"O=C1Nc2cc(OCCCCN3CCN(CC3)c4cccc5sccc45)ccc2C=C1"
"PANOBINOSTAT"	"Cc1[nH]c2ccccc2c1CCNCc3ccc(\C=C\C(=O)NO)cc3"
"GW7647"	"CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3)cc1)C(=O)O"
"DOVITINIB"	"CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O"
"FULVESTRANT"	"C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O"
"METOCLOPRAMIDE"	"CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC"
"CHEMBL598952"	"O=C1ON=C2C=Nc3ccccc3N12"
"SAFINAMIDE"	"C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(=O)N"
"GLYCINE"	"NCC(=O)O"
"QUINELORANE"	"CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@@H]12"
"EMPAGLIFLOZIN"	"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2"
"CHEMBL149394"	"CC(C)C[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(=O)O"
"CERITINIB"	"CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3"
"CHEMBL222418"	"Oc1nc2cc(C#N)c(cc2nc1O)[N+](=O)[O-]"
"CHEMBL363211"	"Cc1onc(c1)c2nncc3c(c(OCc4ncnn4C)nn23)C(C)(C)C"
"ALCOHOL"	"CCO"
"BORTEZOMIB"	"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O"
"PHENOXYBENZAMINE HYDROCHLORIDE"	"Cl.CC(COc1ccccc1)N(CCCl)Cc2ccccc2"
"SORAFENIB"	"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1"
"CHEMBL1949980"	"CC(C)c1ccc(NC(=O)C(N(C)C(=O)Cc2c[nH]c3ccccc23)c4ccccc4)cc1"
"CUDC-101"	"COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO"
"SCH-23390"	"CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3"
"DIZOCILPINE"	"C[C@]12N[C@H](Cc3ccccc13)c4ccccc24"
"CRIZOTINIB"	"C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl"
"OLANZAPINE"	"CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24"
"CHEMBL357080"	"CN[C@@H](C)C(O)c1ccccc1"
"THIORIDAZINE"	"CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1"
"MGCD-265"	"Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2"
"RELCOVAPTAN"	"COc1ccc(cc1OC)S(=O)(=O)N2[C@@H](C(=O)N3CCC[C@H]3C(=O)N)[C@@](O)(c4ccccc4Cl)c5cc(Cl)ccc25"
"DACTOLISIB"	"CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5"
"OLANZAPINE"	"CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24"
"CARFILZOMIB"	"CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN2CCOCC2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]4(C)CO4"
"PRAVASTATIN"	"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12"
"PEXACERFONT"	"CC[C@@H](C)Nc1nc(C)nc2c(c(C)nn12)c3ccc(OC)nc3C"
"CHEMBL185951"	"CN1CCN(CC1)C(=O)c2nc3ccc(Cl)cc3[nH]2"
"DACTOLISIB"	"CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5"
"CHEMBL375270"	"[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccccc2"
"THEOPHYLLINE"	"CN1C(=O)N(C)c2nc[nH]c2C1=O"
"LIDOCAINE"	"CCN(CC)CC(=O)Nc1c(C)cccc1C"
"DESOXIMETASONE"	"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO"
"SEROTONIN"	"NCCc1c[nH]c2ccc(O)cc12"
"CHEMBL306380"	"Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C"
"SB-222200"	"CC[C@H](NC(=O)c1c(C)c(nc2ccccc12)c3ccccc3)c4ccccc4"
"CLOZAPINE"	"CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24"
"CALCITONIN"	"CNC(Cc1ccccc1)C(=O)C(C)C2CC(=O)NCCCC(CC(=C)C(Cc3c[nH]cn3)C(C)C(=O)C(Cc4ccccc4)CC(=O)C(CCCCN)C(C)C2=C)C(=O)C"
"CHEMBL89852"	"CCO\C(=C/1\C(C#Cc2ccccc2)C(=C(N=C1C)c3ccccc3)C(=O)OCc4ccccc4)\O"
"DEVAZEPIDE"	"CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15"
"TAMOXIFEN"	"CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3"
"COPANLISIB"	"COc1c(OCCCN2CCOCC2)ccc3C4=NCCN4C(=Nc13)NC(=O)c5cnc(N)nc5"
"AMINOLEVULINIC ACID"	"NCC(=O)CCC(=O)O"
"RESIQUIMOD"	"CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O"
"CHLORMEZANONE"	"CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O"
"CHEMBL2393201"	"CC(C)(C)c1ccccc1Oc2ncccc2Nc3nnc(s3)c4ccc(cc4)C(F)(F)F"
"DESOXYCORTICOSTERONE"	"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO"
"MOMELOTINIB"	"O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2"
"DROMOSTANOLONE PROPIONATE"	"CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL605003"	"CN(C)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1"
"NIFLUMIC ACID"	"OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F"
"CHEMBL140784"	"NC(C(=O)O)c1nnn[nH]1"
"BRADYKININ"	"N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CO)C(=O)N4CCC[C@H]4C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O"
"COPANLISIB"	"COc1c(OCCCN2CCOCC2)ccc3C4=NCCN4C(=Nc13)NC(=O)c5cnc(N)nc5"
"ZOTEPINE"	"CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13"
"CYPROHEPTADINE"	"CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1"
"ZAPRINAST"	"CCCOc1ccccc1C2=Nc3nn[nH]c3C(=O)N2"
"PELITINIB"	"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C"
"SONOLISIB"	"COC[C@H]1OC(=O)\C(=C\N(CC=C)CC=C)\C2=C(O)C(=O)C3=C([C@@H](C[C@@]4(C)[C@H]3CCC4=O)OC(=O)C)[C@@]12C"
"CHEMBL2206331"	"C[C@]12Cc3cn4c(nc3C[C@@H]1CC[C@@H]5[C@@H]2CC[C@@]6(C)[C@H]5CC[C@@]6(O)C#C)nc7ccccc47"
"AXITINIB"	"CNC(=O)c1ccccc1Sc2ccc3c(\C=C\c4ccccn4)n[nH]c3c2"
"D-PROLINE"	"OC(=O)[C@H]1CCCN1"
"CEP-11981"	"CC(C)Cn1c2ccc(Nc3ncccn3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14"
"CHEMBL2158814"	"Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4"
"VORTIOXETINE"	"Cc1ccc(Sc2ccccc2N3CCNCC3)c(C)c1"
"TOLTERODINE"	"CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C"
"MOSAPRIDE"	"CCOc1cc(N)c(Cl)cc1C(=O)NCC2CN(Cc3ccc(F)cc3)CCO2"
"ACETYLCHOLINE"	"CC(=O)OCC[N+](C)(C)C"
"CHEMBL1215739"	"CCCCCCCc1ccc(CCc2cccc(O)c2C(=O)O)cc1"
"AZD-4547"	"COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N4CC(C)NC(C)C4)n[nH]2)cc(OC)c1"
"OLAPARIB"	"Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CC5"
"2S,4R-4-METHYLGLUTAMATE"	"C[C@H](C[C@H](N)C(=O)O)C(=O)O"
"ZOTEPINE"	"CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13"
"NINTEDANIB"	"COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1"
"CHEMBL81927"	"COc1cc(Br)c(cc1OC)C(=O)N[C@@H](Cc2cccc(Oc3ccccc3)c2)[C@@H](O)CN(CCc4ccc(Cl)cc4Cl)C(=O)CCN5C(=O)c6ccccc6C5=O"
"PROTRIPTYLINE"	"CNCCCC1c2ccccc2C=Cc3ccccc13"
"CHEMBL66654"	"Cc1cccc(n1)C#Cc2ccccc2"
"DECERNOTINIB"	"CC[C@@](C)(Nc1ccnc(n1)c2c[nH]c3ncccc23)C(=O)NCC(F)(F)F"
"TERGURIDE"	"CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1"
"XANOMELINE"	"CCCCCCOc1nsnc1C2=CCCN(C)C2"
"SEOCALCITOL"	"CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C"
"SELUMETINIB"	"Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO"
"TESEVATINIB"	"COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]4C[C@@H]5CN(C)C[C@@H]5C4"
"ISOGUVACINE"	"OC(=O)C1=CCNCC1"
"FILANESIB"	"CON(C)C(=O)N1N=C(S[C@@]1(CCCN)c2ccccc2)c3cc(F)ccc3F"
"METHYLPREDNISOLONE"	"C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14"
"RESVERATROL"	"Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1"
"GALLIC ACID"	"OC(=O)c1cc(O)c(O)c(O)c1"
"PROBENECID"	"CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O"
"CHEMBL267615"	"CCc1[nH]c2ccc(OC)cc2c1CCN(C)C"
"GW501516"	"Cc1cc(SCc2sc(nc2C)c3ccc(cc3)C(F)(F)F)ccc1OCC(=O)O"
"BRIGATINIB"	"COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5"
"XL-281"	"COC(=O)Nc1nc2cc(ccc2[nH]1)C3(O)N(C(=O)c4ccccc34)c5cc(Cl)ccc5C"
"DINOPROSTONE"	"CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(=O)O"
"CHEMBL14276"	"COc1cc2CCN(C(=O)Nc3cc(F)cc(c3)c4cccnc4)c2cc1C(F)(F)F"
"ISOSORBIDE DINITRATE"	"[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]"
"GENETICIN"	"CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)OC[C@]1(C)O"
"(R,S)-AMPA"	"Cc1onc(O)c1CC(N)C(=O)O"
"CEFTAZIDIME"	"CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O"
"APITOLISIB"	"C[C@H](O)C(=O)N1CCN(Cc2sc3c(nc(nc3c2C)c4cnc(N)nc4)N5CCOCC5)CC1"
"ALCOHOL"	"CCO"
"DACOMITINIB"	"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4"
"OSI-027"	"COc1cccc2cc([nH]c12)c3nc([C@@H]4CC[C@H](CC4)C(=O)O)n5ncnc(N)c35"
"CHEMBL2349526"	"N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cc(Br)c3c(N)ncnc23)C(=O)O"
"Ribociclib"	"CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N4CCNCC4)nc2n1C5CCCC5"
"CHEMBL273807"	"CCCN1C(=O)N(CCC)c2nc([nH]c2C1=O)c3ccc(OCC(=O)Nc4ccc(cc4)C#N)cc3"
"CHEMBL506999"	"FC(F)(F)c1ccc(nc1Cl)N2CCNCC2"
"QUINAGOLIDE (CHEMBL290962)"	"CCCN1C[C@H](C[C@@H]2Cc3c(O)cccc3C[C@@H]12)NS(=O)(=O)N(CC)CC"
